"Relative_Abundance"	"species"
19.38	"Megasphaera indica"
11.854	"Dialister massiliensis"
8.319	"[Eubacterium] rectale"
7.953	"Prevotella copri"
6.315	"Lactobacillus ruminis"
6.064	"Megamonas rupellensis"
4.929	"Dialister hominis"
3.633	"Blautia sp. SC05B48"
2.357	"Mitsuokella multacida"
2.017	"Lachnospiraceae bacterium GAM79"
1.967	"Megasphaera elsdenii"
1.687	"Anaerostipes hadrus"
1.681	"Anaerobutyricum hallii"
1.651	"Faecalibacterium prausnitzii"
1.645	"Gemmiger formicilis"
1.599	"Eubacterium coprostanoligenes"
1.333	"Roseburia faecis"
1.328	"Megamonas hypermegale"
1.135	"Roseburia intestinalis"
0.868	"Dorea longicatena"
0.809	"Enterocloster bolteae"
0.697	"Streptococcus equinus"
0.618	"Butyricicoccus faecihominis"
0.592	"Haemophilus parainfluenzae"
0.542	"Phocaeicola plebeius"
0.501	"Roseburia inulinivorans"
0.467	"Coprococcus comes"
0.452	"Clostridium saudiense"
0.447	"Eubacterium ramulus"
0.43	"Lacrimispora amygdalina"
0.428	"Lactobacillus rogosae"
0.403	"Dorea formicigenerans"
0.328	"Oscillibacter valericigenes"
0.31	"Blautia luti"
0.295	"Fusicatenibacter saccharivorans"
0.295	"Ruminococcus bicirculans"
0.29	"Roseburia hominis"
0.285	"Veillonella dispar"
0.273	"Veillonella parvula"
0.221	"Dysosmobacter welbionis"
0.218	"Lachnospira eligens"
0.201	"Streptococcus sp. LPB0220"
0.186	"Mitsuokella jalaludinii"
0.168	"Blautia faecis"
0.128	"Coprococcus catus"
0.127	"Anaeromassilibacillus senegalensis"
0.125	"Alistipes putredinis"
0.103	"Faecalicatena fissicatena"
0.098	"Hungatella hathewayi"
0.094	"Romboutsia timonensis"
0.093	"Bacteroides caccae"
0.091	"Blautia hominis"
0.088	"Blautia producta"
0.083	"Christensenella sp. Marseille-P3954"
0.075	"Megasphaera hexanoica"
0.072	"Lacrimispora indolis"
0.067	"Clostridium merdae"
0.064	"[Eubacterium] siraeum"
0.063	"Veillonella atypica"
0.062	"Bacteroides ovatus"
0.06	"Lactobacillus mucosae"
0.058	"[Ruminococcus] gnavus"
0.058	"Catabacter hongkongensis"
0.055	"Caecibacterium sporoformans"
0.054	"Phocaeicola coprocola"
0.051	"Phocaeicola vulgatus"
0.048	"Megamonas funiformis"
0.046	"Neglecta timonensis"
0.045	"Sutterella massiliensis"
0.045	"Blautia glucerasea"
0.043	"Lachnoclostridium sp. YL32"
0.04	"Robinsoniella peoriensis"
0.039	"Anaerotignum faecicola"
0.038	"Granulicatella elegans"
0.038	"Odoribacter splanchnicus"
0.038	"Blautia wexlerae"
0.036	"Alistipes shahii"
0.035	"Streptococcus sp. A12"
0.035	"Escherichia coli"
0.031	"Enterocloster citroniae"
0.031	"[Ruminococcus] torques"
0.031	"Eubacterium ventriosum"
0.03	"Aminipila butyrica"
0.03	"Eubacterium oxidoreducens"
0.027	"Lacrimispora saccharolytica"
0.024	"Haemophilus sputorum"
0.024	"Acetivibrio ethanolgignens"
0.023	"Mediterraneibacter glycyrrhizinilyticus"
0.022	"Clostridiales bacterium CCNA10"
0.02	"Faecalicatena orotica"
0.019	"Bacteroides xylanisolvens"
0.019	"Veillonella tobetsuensis"
0.019	"Parabacteroides merdae"
0.019	"Streptococcus oralis"
0.018	"Cuneatibacter caecimuris"
0.018	"Phocaeicola coprophilus"
0.018	"Bacteroides uniformis"
0.018	"Streptococcus parasanguinis"
0.017	"Klebsiella pneumoniae"
0.017	"Ihubacter massiliensis"
0.016	"Anaerotruncus rubiinfantis"
0.012	"Blautia obeum"
0.01	"Negativibacillus massiliensis"
0.01	"Streptococcus sanguinis"
0.01	"Flintibacter sp. KGMB00164"
0	""
